Data da atividade,Nome da atividade,Tipo de atividade,Descrição da atividade,Tempo decorrido,Distância,Frequência cardíaca máxima,Esforço relativo,Deslocamento,Observação privada da atividade,Equipamento da atividade,Peso do atleta,Peso da bicicleta,Tempo decorrido,Tempo de movimentação,Distância,Velocidade máx.,Velocidade média,Ganho de elevação,Perda de elevação,Elevação mínima,Elevação máxima,Inclinação máxima,Inclinação média,Inclinação positiva média,Inclinação negativa média,Cadência máxima,Cadência média,Frequência cardíaca máxima,Frequência cardíaca média,Máximo de watts,Média de watts,Calorias,Temperatura máxima,Temperatura média,Esforço relativo,Total de trabalho,Número de corridas,Tempo de subida,Tempo de descida,Outro tempo,Percepção de esforço,Tipo,Hora de início,Média ponderada de potência,Contagem de potência,Usar Percepção de esforço,Percepção de esforço relativo,Deslocamento,Peso total levantado,Da atividade carregada,Distância ajustada à inclinação,Tempo de observação do clima,Condição climática,Temperatura atmosférica,Temperatura aparente,Ponto de orvalho,Umidade,Pressão atmosférica,Velocidade do vento,Rajada de vento,Direção do vento,Intensidade da precipitação,Hora do nascer do sol,Hora do pôr do sol,Fase da lua,Probabilidade de precipitação,Tipo de precipitação,Nebulosidade,Visibilidade,Índice UV,Previsão de ozônio,Contagem de pulos,Garra total,Fluxo médio,Sinalizado,Velocidade média (tempo decorrido),Distância na terra,Distância recém-explorada,Distância de terra recém-explorada,Contagem de atividades,Total de passos,Economia de carbono
6 de fev de 2019 08:21:42,Pedalada matutina,Pedalada,,910,"5,09",,,false,,Branquela,85.0,16.0,910.0,875.0,5091.39990234375,14.100000381469727,,97.10942840576172,88.0093994140625,680.9000244140625,717.0,29.600000381469727,0.178732767701149,,,,,,,,261.32232666015625,254.9522705078125,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4565.39990234375,,,,,
6 de fev de 2019 18:56:12,Pedalada vespertina,Pedalada,,2389,"6,98",,,false,,Branquela,85.0,16.0,2389.0,1688.0,6979.10009765625,12.600000381469727,,102.0672836303711,86.46700286865234,674.7000122070312,715.0,14.699999809265137,0.2235245257616043,,,,,,,,177.95387268066406,334.9307861328125,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3560.39990234375,,,,,
7 de fev de 2019 18:58:09,Pedalada vespertina,Pedalada,,2036,"5,71",,,false,,Branquela,85.0,16.0,2036.0,1511.0,5709.10009765625,10.5,,137.03378295898438,147.33399963378906,685.0,756.7999877929688,19.399999618530273,-0.18041372299194336,,,,,,,,184.3287811279297,310.5510559082031,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4389.7998046875,,,,,
14 de fev de 2019 08:23:40,Pedalada matutina,Pedalada,,1113,"5,32",,,false,,Branquela,85.0,16.0,1113.0,1027.0,5325.0,16.899999618530273,,100.11528015136719,90.51499938964844,680.9000244140625,717.2000122070312,29.299999237060547,0.18028168380260468,,,,,,,,222.3836669921875,254.6530303955078,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4746.2001953125,,,,,
15 de fev de 2019 08:19:05,Pedalada matutina,Pedalada,,1516,"5,24",,,false,,Branquela,85.0,16.0,1516.0,1298.0,5240.39990234375,13.800000190734863,,115.06550598144531,102.26599884033203,685.0,717.2000122070312,32.900001525878906,0.2442561686038971,,,,,,,,205.83778381347656,297.9031677246094,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002.89990234375,,,,,
15 de fev de 2019 14:03:21,Pedalada no almoço,Pedalada,,3150,"12,68",,,false,,Branquela,85.0,16.0,3150.0,3054.0,12684.0,10.100000381469727,,248.9357452392578,90.53600311279297,680.9000244140625,866.7000122070312,45.900001525878906,1.2488174438476562,,,,,,,,197.69700622558594,673.1998291015625,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11807.400390625,,,,,
18 de fev de 2019 09:12:35,Pedalada matutina,Pedalada,,1339,"5,19",,,false,,Branquela,85.0,16.0,1339.0,1185.0,5193.89990234375,11.300000190734863,,115.23155975341797,103.23200225830078,685.0999755859375,716.9000244140625,38.20000076293945,0.23104025423526764,,,,,,,,209.3819122314453,276.6512145996094,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900.60009765625,,,,,
18 de fev de 2019 19:55:53,Pedalada vespertina,Pedalada,,1684,"5,73",,,false,,Branquela,85.0,16.0,1684.0,1519.0,5738.0,9.100000381469727,,137.39431762695312,145.99400329589844,684.9000244140625,756.7999877929688,29.5,-0.14987801015377045,,,,,,,,174.5762481689453,295.6767578125,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4426.60009765625,,,,,
19 de fev de 2019 09:24:45,Pedalada matutina,Pedalada,,1258,"5,07",,,false,,Branquela,85.0,16.0,1258.0,1132.0,5070.10009765625,10.5,,108.81362915039062,97.31400299072266,685.0999755859375,717.2000122070312,32.099998474121094,0.2268199771642685,,,,,,,,204.356689453125,257.9353332519531,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3989.5,,,,,
20 de fev de 2019 09:17:13,Pedalada matutina,Pedalada,,1187,"5,04",,,false,,Branquela,85.0,16.0,1187.0,1113.0,5042.7998046875,12.600000381469727,,108.73556518554688,92.23600006103516,684.9000244140625,717.2000122070312,32.70000076293945,0.32719916105270386,,,,,,,,217.14056396484375,269.47088623046875,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3929.39990234375,,,,,
20 de fev de 2019 19:58:41,Pedalada vespertina,Pedalada,,1775,"5,71",,,false,,Branquela,85.0,16.0,1775.0,1605.0,5709.2998046875,10.800000190734863,,136.57977294921875,146.47999572753906,684.9000244140625,756.7999877929688,24.200000762939453,-0.17340129613876343,,,,,,,,206.95944213867188,370.36865234375,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4382.89990234375,,,,,
21 de fev de 2019 09:21:52,Pedalada matutina,Pedalada,,1105,"5,04",,,false,,Branquela,85.0,16.0,1105.0,957.0,5043.7001953125,12.899999618530273,,107.85782623291016,94.45800018310547,685.0999755859375,716.9000244140625,29.100000381469727,0.2656779885292053,,,,,,,,234.6741485595703,250.41006469726562,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3872.800048828125,,,,,
